# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	306
#@/user_id	ac57c271-be81-4f5d-ad4b-2447d3186ee2
a5 	啊	c=2 d=0.905673 t=306
ye3 tai4 cha4 jin4 	也太差勁	c=1 d=0.337902 t=306
ye4 	業	c=1 d=0.644036 t=306
ye4 wan3 	夜晚	c=1 d=0.355226 t=306
yi1 fen4 	一份	c=0 d=0.0367879 t=306
yi1 pan2 	一盤	c=1 d=0.683861 t=306
yi1 qi3 	一起	c=1 d=0.249075 t=306
yi1 wei4 	一位	c=1 d=0.532592 t=306
yi1 yi4 	一億	c=1 d=0.436049 t=306
yi2 bu4 fen4 	一部分	c=0 d=0.071177 t=306
yi2 du4 	一度	c=1 d=0.287941 t=306
yi2 xia4 zi5 	一下子	c=1 d=0.559898 t=306
yi3 jing1 	已經	c=1 d=0.367879 t=306
yin4 du4 	印度	c=1 d=0.33454 t=306
ying1 su4 	罌粟	c=1 d=0.433874 t=306
ying2 	贏	c=1 d=0.514274 t=306
you3 	有	c=1 d=0.683256 t=306
you3 an1 quan2 	有安全	c=1 d=0.474734 t=306
you3 de5 	有的	c=1 d=0.235746 t=306
you4 	又	c=1 d=0.479505 t=306
you4 bu4 	又不	c=0 d=0.0474734 t=306
you4 bu4 chu4 fa1 	又不觸發	c=1 d=0.477114 t=306
yu2 	于	c=1 d=0.499074 t=306
yu2 liao4 	餘料	c=1 d=0.737123 t=306
yu4 liao4 	預料	c=1 d=0.733447 t=306
zai4 ye3 	再也	c=1 d=0.904837 t=306
zao3 chen2 	早晨	c=1 d=0.913931 t=306
zeng1 	增	c=1 d=0.286505 t=306
zhang1 quan2 dan4 	張全蛋	c=1 d=0.324652 t=306
zhao3 bu5 dao4 	找不到	c=0 d=0.0873716 t=306
zhe4 	這	c=1 d=0.379068 t=306
zhe4 ge5 	這個	c=1 d=0.321422 t=306
zhe4 ju4 qing2 	這劇情	c=1 d=0.362402 t=306
zhe4 li3 	這裏	c=1 d=0.267135 t=306
zhe4 me5 jian3 dan1 	這麼簡單	c=1 d=0.463013 t=306
zhi1 bu4 zhi1 dao4 	知不知道	c=0 d=0.0227638 t=306
zhi1 hu1 	知乎	c=1 d=0.786628 t=306
zhi1 qian2 	之前	c=1 d=0.373439 t=306
zhi3 	只	c=1 d=0.729789 t=306
zhi3 	衹	c=1 d=0.697676 t=306
zhi3 you3 	只有	c=1 d=0.26054 t=306
zhong1 guo2 	中國	c=1 d=0.524663 t=306
zhu2 jiang1 zhi3 	竹漿紙	c=1 d=0.955997 t=306
zhu2 sun3 	竹筍	c=1 d=0.895834 t=306
zhu4 shou3 	助手	c=1 d=0.552761 t=306
zi1 ben3 	資本	c=0 d=0.056836 t=306
zi1 ben3 shi4 jie4 	資本世界	c=1 d=0.571209 t=306
zi4 ti3 	字體	c=1 d=0.344728 t=306
zi4 xin4 	自信	c=0 d=0.0449329 t=306
zou3 chu1 	走出	c=0 d=0.0535261 t=306
zou3 lu4 	走路	c=1 d=0.458406 t=306
zuo3 	左	c=1 d=0.251579 t=306
